Time,Relative Throttle Position(%),Speed (OBD)(km/h),SOC
0.1,0.39215687,0,66
0.2,0.39215687,0,66
0.3,0.39215687,0,66
0.4,0.39215687,0,66
0.5,0.39215687,0,66
0.6,0.39215687,0,66
0.7,0.39215687,0,66
0.8,0.39215687,0,66
0.9,0.39215687,0,66
1,0.39215687,0,66
1.1,0.39215687,0,66
1.2,0.39215687,0,66
1.3,0.39215687,0,66
1.4,0.39215687,0,66
1.5,0.39215687,0,66
1.6,0.39215687,0,66
1.7,0.39215687,0,66
1.8,0.39215687,0,66
1.9,0.39215687,0,66
2,0.39215687,0,66
2.1,0.39215687,0,66
2.2,0.39215687,0,66
2.3,0.39215687,0,66
2.4,0.39215687,0,66
2.5,0.39215687,0,66
2.6,0.39215687,0,66
2.7,0.39215687,0,66
2.8,0.39215687,0,66
2.9,0.39215687,0,66
3,0.39215687,0,66
3.1,0.39215687,0,66
3.2,0.39215687,0,66
3.3,0.39215687,0,66
3.4,0.39215687,0,66
3.5,0.39215687,0,66
3.6,0.39215687,0,66
3.7,0.39215687,0,66
3.8,0.39215687,0,66
3.9,0.39215687,0,66
4,0.39215687,0,66
4.1,0.39215687,0,66
4.2,0.39215687,0,66
4.3,0.39215687,0,66
4.4,0.39215687,0,66
4.5,0.39215687,0,66
4.6,0.39215687,0,66
4.7,0.39215687,0,66
4.8,0.39215687,0,66
4.9,0.39215687,0,66
5,0.39215687,0,66
5.1,0.39215687,0,66
5.2,0.39215687,0,66
5.3,0.39215687,0,66
5.4,0.39215687,0,66
5.5,0.39215687,0,66
5.6,0.39215687,0,66
5.7,0.39215687,0,66
5.8,0.39215687,0,66
5.9,0.39215687,0,66
6,0.39215687,0,66
6.1,0.39215687,0,66
6.2,5.88235283,0,66
6.3,5.88235283,0,66
6.4,5.88235283,0,66
6.5,5.88235283,0,66
6.6,5.88235283,0,66
6.7,5.88235283,0,66
6.8,5.88235283,0,66
6.9,1.96078432,0,66
7,1.96078432,0,66
7.1,1.96078432,0,66
7.2,1.96078432,0,66
7.3,1.96078432,0,66
7.4,1.96078432,0,66
7.5,1.96078432,0,66
7.6,1.96078432,0,66
7.7,1.96078432,0,66
7.8,0.39215687,0,66
7.9,0.39215687,0,66
8,0.39215687,0,66
8.1,0.39215687,0,66
8.2,0.39215687,0,66
8.3,0.39215687,0,66
8.4,0.39215687,0,66
8.5,0.39215687,0,66
8.6,0.39215687,0,66
8.7,0.39215687,0,66
8.8,3.92156863,0,66
8.9,3.92156863,0,66
9,3.92156863,0,66
9.1,3.92156863,5,66
9.2,3.92156863,5,66
9.3,3.92156863,5,66
9.4,3.92156863,5,66
9.5,7.45098019,5,66
9.6,7.45098019,5,66
9.7,7.45098019,5,66
9.8,7.45098019,5,66
9.9,7.45098019,5,66
10,7.45098019,5,66
10.1,7.45098019,5,66
10.2,7.45098019,7,66
10.3,7.45098019,7,66
10.4,7.45098019,7,66
10.5,14.90196037,7,66
10.6,14.90196037,7,66
10.7,14.90196037,7,66
10.8,14.90196037,7,66
10.9,14.90196037,14,66
11,14.90196037,14,66
11.1,14.90196037,14,66
11.2,26.27450943,14,66
11.3,26.27450943,14,66
