Time, Longitude, Latitude,Engine RPM(rpm),GPS Latitude(°),GPS Longitude(°),Relative Throttle Position(%),Speed (OBD)(km/h),Throttle Position(Manifold)(%),SOC
0.1,-,-,1123,-,-,0.39215687,0,12.94117641,66
0.2,-,-,1123,-,-,0.39215687,0,12.94117641,66
0.3,-,-,1123,-,-,0.39215687,0,12.94117641,66
0.4,-,-,1123,-,-,0.39215687,0,12.94117641,66
0.5,-,-,1123,-,-,0.39215687,0,12.94117641,66
0.6,-,-,1123,-,-,0.39215687,0,12.94117641,66
0.7,-,-,1123,-,-,0.39215687,0,12.94117641,66
0.8,-,-,1123,-,-,0.39215687,0,12.94117641,66
0.9,-,-,1123,-,-,0.39215687,0,12.94117641,66
1,-,-,1123,-,-,0.39215687,0,12.94117641,66
1.1,-,-,1123,-,-,0.39215687,0,12.94117641,66
1.2,-,-,1123,-,-,0.39215687,0,12.94117641,66
1.3,-,-,1123,-,-,0.39215687,0,12.94117641,66
1.4,-,-,1972.75,-,-,0.39215687,0,12.94117641,66
1.5,-,-,1972.75,-,-,0.39215687,0,12.94117641,66
1.6,-,-,1972.75,-,-,0.39215687,0,12.94117641,66
1.7,-,-,1972.75,-,-,0.39215687,0,12.94117641,66
1.8,-,-,1972.75,-,-,0.39215687,0,12.94117641,66
1.9,-,-,1972.75,-,-,0.39215687,0,12.94117641,66
2,-,-,1972.75,-,-,0.39215687,0,12.94117641,66
2.1,-,-,1972.75,-,-,0.39215687,0,20,66
2.2,-,-,1972.75,-,-,0.39215687,0,20,66
2.3,-,-,1972.75,-,-,0.39215687,0,20,66
2.4,-,-,1972.75,-,-,0.39215687,0,20,66
2.5,-,-,1972.75,-,-,0.39215687,0,20,66
2.6,-,-,1972.75,-,-,0.39215687,0,20,66
2.7,-,-,1972.75,-,-,0.39215687,0,20,66
2.8,-,-,1972.75,-,-,0.39215687,0,20,66
2.9,-,-,1972.75,-,-,0.39215687,0,20,66
3,-,-,1972.75,-,-,0.39215687,0,20,66
3.1,-,-,1972.75,-,-,0.39215687,0,20,66
3.2,-,-,1972.75,-,-,0.39215687,0,20,66
3.3,-,-,1972.75,-,-,0.39215687,0,20,66
3.4,-,-,1972.75,-,-,0.39215687,0,20,66
3.5,-,-,1972.75,-,-,0.39215687,0,20,66
3.6,-,-,1177.25,-,-,0.39215687,0,20,66
3.7,-,-,1177.25,-,-,0.39215687,0,20,66
3.8,-,-,1177.25,-,-,0.39215687,0,20,66
3.9,-,-,1177.25,-,-,0.39215687,0,20,66
4,-,-,1177.25,-,-,0.39215687,0,20,66
4.1,-,-,1177.25,-,-,0.39215687,0,20,66
4.2,-,-,1177.25,-,-,0.39215687,0,20,66
4.3,-,-,1177.25,-,-,0.39215687,0,12.94117641,66
4.4,-,-,1177.25,-,-,0.39215687,0,12.94117641,66
4.5,-,-,1177.25,-,-,0.39215687,0,12.94117641,66
4.6,-,-,1177.25,-,-,0.39215687,0,12.94117641,66
4.7,-,-,1177.25,-,-,0.39215687,0,12.94117641,66
4.8,-,-,1177.25,-,-,0.39215687,0,12.94117641,66
4.9,-,-,1177.25,-,-,6.27450991,0,12.94117641,66
5,-,-,1177.25,-,-,6.27450991,0,12.94117641,66
5.1,-,-,4054,-,-,6.27450991,0,12.94117641,66
5.2,-,-,4054,-,-,6.27450991,0,12.94117641,66
5.3,-,-,4054,-,-,6.27450991,0,12.94117641,66
5.4,-,-,4054,-,-,6.27450991,0,12.94117641,66
5.5,-,-,4054,-,-,6.27450991,0,12.94117641,66
5.6,-,-,4054,-,-,6.27450991,0,19.2156868,66
5.7,-,-,4054,-,-,6.27450991,0,19.2156868,66
5.8,-,-,4054,-,-,6.27450991,0,19.2156868,66
5.9,-,-,4054,-,-,6.27450991,0,19.2156868,66
6,-,-,4054,-,-,6.27450991,0,19.2156868,66
6.1,-,-,4054,-,-,4.31372547,0,19.2156868,66
6.2,-,-,4054,-,-,4.31372547,0,19.2156868,66
6.3,-,-,4054,-,-,4.31372547,0,19.2156868,66
6.4,-,-,4054,-,-,4.31372547,0,19.2156868,66
6.5,-,-,4295.75,-,-,4.31372547,0,19.2156868,66
6.6,-,-,4295.75,-,-,4.31372547,0,19.2156868,66
6.7,-,-,4295.75,-,-,4.31372547,0,19.2156868,66
6.8,-,-,4295.75,-,-,4.31372547,0,19.2156868,66
6.9,-,-,4295.75,-,-,4.31372547,0,19.2156868,66
7,-,-,4295.75,-,-,4.31372547,0,19.2156868,66
7.1,-,-,4295.75,-,-,4.31372547,0,19.2156868,66
7.2,-,-,4295.75,-,-,4.31372547,0,19.2156868,66
7.3,-,-,4295.75,-,-,4.31372547,0,15.68627453,66
7.4,-,-,4295.75,-,-,4.31372547,0,15.68627453,66
